Job Title,Company,Listing Time,Location,Experience,Salary,Skills,Job Link
Chief Manager - Sales and Alliance Job Details | Sterlite Power Transmission Limited,Sterlite Power,24h,Gurgaon,5 - 10  Years,As per Industry Standards,sales management | customer acquisition | account management | relationship building | financial analysis | financing | collection | accounts | credit control | finance,https://m.timesjobs.com/mobile/job-detail/chief-manager-sales-and-alliance-job-details-sterlite-power-transmission-limited-sterlite-power-gurgaon-5-to-10-yrs-jobid-LdXBZuHuzAxzpSvf__PLUS__uAgZw==&bc=+&sequence=1
Assistant Manager - Company Secretary Job Details | Sterlite Power Transmission Limited,Sterlite Power,3 days ago,Gurgaon,5 - 8  Years,As per Industry Standards,N/A,https://m.timesjobs.com/mobile/job-detail/assistant-manager-company-secretary-job-details-sterlite-power-transmission-limited-sterlite-power-gurgaon-5-to-8-yrs-jobid-wUtOzGidpwVzpSvf__PLUS__uAgZw==&bc=+&sequence=2
"Assistant Manager - Finance ,  FP&A Job Details | Sterlite Power Transmission Limited",Sterlite Power,5 days ago,Gurgaon,3 - 5  Years,As per Industry Standards,financial reporting | cost control | analytical thinking | proactive problem solving | forecast model management | reports | mis reporting | variance | financing | finance | financial statements,https://m.timesjobs.com/mobile/job-detail/assistant-manager-finance-fp-a-job-details-sterlite-power-transmission-limited-sterlite-power-gurgaon-3-to-5-yrs-jobid-3NSvwK1hAUBzpSvf__PLUS__uAgZw==&bc=+&sequence=3
Manager- Land Contracts Job Details | Sterlite Power Transmission Limited,Sterlite Power,6 days ago,Gurgaon,5 - 8  Years,As per Industry Standards,contract drafting | renewable energy negotiation | contract benchmarking | inco terms expertise,https://m.timesjobs.com/mobile/job-detail/manager-land-contracts-job-details-sterlite-power-transmission-limited-sterlite-power-gurgaon-5-to-8-yrs-jobid-tOKhBSGZfL5zpSvf__PLUS__uAgZw==&bc=+&sequence=4
Assistant Manager - Projects Job Details | Sterlite Power Transmission Limited,Sterlite Power,24h,Gurgaon,5 - 8  Years,As per Industry Standards,project management | cost control | stakeholder coordination | quality assurance | manpower management | safety | innovation | commissioning | planning | control room | cutting,https://m.timesjobs.com/mobile/job-detail/assistant-manager-projects-job-details-sterlite-power-transmission-limited-sterlite-power-gurgaon-5-to-8-yrs-jobid-GZ5frAkBdBBzpSvf__PLUS__uAgZw==&bc=+&sequence=5
Manager - Projects Job Details | Sterlite Power Transmission Limited,Sterlite Power,1 days ago,Vadodara,5 - 8  Years,As per Industry Standards,project management financial monitoring risk mitigation client coordination team leadership | innovation | scheduling | cutting,https://m.timesjobs.com/mobile/job-detail/manager-projects-job-details-sterlite-power-transmission-limited-sterlite-power-vadodara-5-to-8-yrs-jobid-3ujnLx9NVPhzpSvf__PLUS__uAgZw==&bc=+&sequence=6
Accounts Manager,Power plus cables Co,21 days ago,Fujairah,10 - 13  Years,As per Industry Standards,financial reporting | budget management | accounts payable | tax compliance | financial analysis | reports | variance analysis | accounting | audit coordination | legal | financial planning | financial statements | forecasting | tax returns | strategic financial planning | accounts manager,https://m.timesjobs.com/mobile/job-detail/accounts-manager-power-plus-cables-co-fujairah-10-to-13-yrs-jobid-t__SLASH__zG4RRpQFNzpSvf__PLUS__uAgZw==&bc=+&sequence=7
Officer Marketing,Power plus cables Co,7 days ago,"Dubai,  Abu Dhabi",2 - 5  Years,As per Industry Standards,marketing officer | trade,https://m.timesjobs.com/mobile/job-detail/officer-marketing-power-plus-cables-co-dubai-abu-dhabi-2-to-5-yrs-jobid-90Yzhqq3o__PLUS__JzpSvf__PLUS__uAgZw==&bc=+&sequence=8
HR & Admin Officer,Power plus cables Co,24h,Fujairah,3 - 5  Years,As per Industry Standards,recruitment process management | employee onboarding coordination | labor law compliance | office operations oversight | administrative document management | screening | employee training | hr | payroll processing | leave | employee benefits | employee records | hr policies,https://m.timesjobs.com/mobile/job-detail/hr-admin-officer-power-plus-cables-co-fujairah-3-to-5-yrs-jobid-A6SsBuucrMhzpSvf__PLUS__uAgZw==&bc=+&sequence=9
Electrical Cable Costing Officer,Power plus cables Co,21 days ago,"Dubai,  Fujairah",3 - 6  Years,As per Industry Standards,cost analysis techniques | financial modelling expertise | detail oriented approach | microsoft excel proficiency | financial analysis | reports | costing | accounting | cost accounting | reporting | erp | cma | pricing,https://m.timesjobs.com/mobile/job-detail/electrical-cable-costing-officer-power-plus-cables-co-dubai-fujairah-3-to-6-yrs-jobid-__SLASH__Ih__SLASH__LLZkhVJzpSvf__PLUS__uAgZw==&bc=+&sequence=10
Sr. Manager  Marketing,Power plus cables Co,21 days ago,"Dubai,  Abu Dhabi",10 - 13  Years,As per Industry Standards,electrical cable marketing | marketing strategy development | market research analysis | promotional campaign management | customer relationship management | market penetration | sales growth | sales team | revenue growth | sales process | sales support | customer acquisition | sales tools | manager,https://m.timesjobs.com/mobile/job-detail/sr-manager-marketing-power-plus-cables-co-dubai-abu-dhabi-10-to-13-yrs-jobid-u7oUoeMe9rFzpSvf__PLUS__uAgZw==&bc=+&sequence=11
Contract Management Manager,NTPC GE Power Services Limited,7 days ago,Noida/Greater Noida,15 - 18  Years,As per Industry Standards,mou | legal | law | legal issues | agreements,https://m.timesjobs.com/mobile/job-detail/contract-management-manager-ntpc-ge-power-services-limited-noida-greater-noida-15-to-18-yrs-jobid-XTX9A__PLUS__2HLEdzpSvf__PLUS__uAgZw==&bc=+&sequence=12
Coordinator - Projects,Vasavi Power Services Pvt Ltd,7 days ago,Vijayawada,10 - 13  Years,As per Industry Standards,project management | construction | monitoring | coordination,https://m.timesjobs.com/mobile/job-detail/coordinator-projects-vasavi-power-services-pvt-ltd-vijayawada-10-to-13-yrs-jobid-1jI6__PLUS__OYfgkRzpSvf__PLUS__uAgZw==&bc=+&sequence=13
Estimation Engineer  Mechanical,Vasavi Power Services Pvt Ltd,7 days ago,Vijayawada,2 - 5  Years,As per Industry Standards,estimation | estimation engineer | epc | commissioning,https://m.timesjobs.com/mobile/job-detail/estimation-engineer-mechanical-vasavi-power-services-pvt-ltd-vijayawada-2-to-5-yrs-jobid-btAk3rzX__SLASH__ERzpSvf__PLUS__uAgZw==&bc=+&sequence=14
